// Copyright (c) 2005-2008, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.
xmlLang	PL
Popup system font	Czcionka system popup
Popup system background	Tło system popup
Contact status font	Czcionka kontaktu - status
Control color	Kolor kontrolki
Gradient_Background_left color	Gradient - lewy
Gradient_Background_right color	Gradient - prawy
Themes	Skórki
Theme	Użyj skórki
Sounds options	Ustawienia Dźwięku
Time	Czas
participant	uczestnik
moderator	moderator
visitor	wizytor
none	bez przynależności
member	member
admin	admin
owner	właściciel
second's	sekund
seconds	sekundy
second	sekunda
minute's	minut
minutes	minuty
minute	minuta
hour's	godzin
hours	godziny
hour	godzina
day's	dni
days	dni
day	dzień
Minutes before away	Czas włączenia autostatusu (min)
Automatic Away	Auto odejście
disabled	Wyłączony
keyblock	Blokada klawiatury
Unlock keyboard	Odblokuj klawiaturę
by message	Od ostatniej wiadomosci
AutoStatus	AutoStatus
AutoStatus time (min)	AutoStatus czas (min)
Auto xa since %t	AutoStatus zaraz wracam od %t
Auto away since %t	AutoStatus oddalony od %t
Auto Status on KeyLock since	AutoStatus z powodu blokady klawiatury od
autofocus	Autopodświetlenie nowej wiadomości
Grant Membership	Daj Członkowstwo
Are You sure want to clear messagelist?	Czy jesteś pewien, aby usunąć listę wiadomości?
Google token request	Pobieranie Google token
Features	Szczegóły
Show password	Pokaż hasło
No client version available	[Funkcja wersji klienta i oprogramowania nie jest w tej chwili dostępna]
Message limit	Limit wiadomości
Opening stream	Otwieranie strumienia
Using compression	Użycie kompresji danych
Authenticating	Identyfikowanie użytkownika
Resource binding	Uwierzytelnienie z serwera
Initiating session	Inicjowanie sesji
Text wrapping	Zawijanie tekstu
by chars	Przez znaki
by words	Przez słowa
Loading	Wczytywanie
Warning!	Uwaga!
Gateway	Transport
will be replaced by one from the list of online gateways for all JIDs in your roster (please logoff old gateway to avoid damaging contact list of your guest IM account)	zostanie zastąpiony przez nowy transport dla wszystkich adresów JID (proszę wylogować stare trasporty, aby uniknąć problemów w przyszłości).
Date	Data
Message edit	Edycja wiadomości
Current version	Moja wersja
Last version	Wersja na serwerze
is multikey	Dwa klawisze
second key	Drugi klawisz
pageLeft	w lewo
pageRight	w prawo
Restore from background	Przywróć z tła
Info	Info
Reply	Odpisz
Send status	Wyślij status
Are you sure want to BAN this person?	Czy napewno chcesz zablokować tą osobę?
No reason	Bez powodu
Next	następny
Recent	Poprzednie
Shot	Zrób zdjęcie
Select file	Wybierz plik
Load Photo	Wybierz zdjęcie
Clear Photo	Usuń zdjęcie
Camera	Kamera
Hide finished	Ukryj przesłane
Transfer tasks	Przesłane pliki
Are you sure want to delete this message?	Czy jesteś pewien, aby usunąć tą wiadomość?
New conference	Nowa konferencja
Root	Przegląd dysku
Decline	Odrzuć
Authorize new contacts	Autoryzuj nowe kontakty
[auto-subscribe]	[Automatyczne autoryzowanie]
Keep-Alive	Typ podtrzymania połaczenia
 has been unaffiliated and kicked from members-only room	 został(a) bez przynależności i wyrzucona z pokoju (tylko dla memberów)
Rename	Zmień nazwę
Move	Przesuń
Save	Zapisz
Translit	Transliteruj
ReTranslit	ReTransliteruj
Auto translit2Cyr	AutoTransliteruj do Cyr
Check Updates	Aktualizacja
Show Resources	Pokaż zasób
Collapsed groups	Zwijanie grup
Collapse all groups	Zwijanie wszystkich grup
Show groups	Pokaż grupy
Send Buffer	Wyślij buffor
Change nickname	Zmień nick
Message collapse limit	Auto zwijanie wiadomości (po ilu znakach)
No client info	Brak informacji na temat wersji klienta
Clear all chats	Usuń wszystkie wiadomości
Join marked (auto)	AutoWejście do konferencji
Statistics	Statystyka
Started: 	Uruchomiono: 
Traffic stats: 	Statystyka: 
All: 	Wszystko: 
Current: 	Użyto: 
Last Messages	Ostatnie wiadomości
Edit/join	Edytuj/Wejdź
Use this Color scheme	Użyj tego schematu 
Delete All	Usuń wszystko
History options	Opcje historii
Filenames transliterate	Nazwa archiwum transliteracji
Save chat	Zapisz konferencje
show statuses	Pokaż statusy
shared platform info	Pokaż informacje o platformie
delivery events	Raporty dostarczenia
drop all	Odrzuć wszystko
receive messages	Odebrane wiadomości
messages & presences	Wiadomości i statusy
normal	normalna
small	mała
large	duża
All signals	Wszystkie sygnały
Vibra	Wibracja
No signals	Bez sygnałów
 (default)	 (domyślnie)
Quit?	Zakończyć?
Are you sure want to Quit?	Czy napewno chcesz zakończyć?
exit confirmation	Potwierdzenie wyjścia
Key mode	Tryb klawiszy
press, (no long keys)	krótkie naciśnięcie
press, (long keys)	długie naciśnięcie
release, (long keys)	długie zwolnienie
press your key	wciśnij swój klawisz
Reconnecting	Wznawianie połączenia
Shadow in font	Cień czcionek
Upload music from your player	Scrobbluj muzykę ze swojego odtwarzacza
show last appeared contacts	Pokaż ostatnio ukazany kontakt
custom keys	Klawisze skrótu
Add custom key	Dodaj klawisz skrótu
keys action	Skrót do:
enabled	Aktywuj
key	Klawisz
Reconnect	Zaloguj ponownie
Sort list	Sortuj listę
Turn on light	Włącz podświetlenie
show time and traffic	Pokaż czas i dane
Clear popups	Wyczyść popups
Chat history length	Ilość wiadomości w konferencji
This user wants to subscribe to your presence	[Użytkownik prosi o autoryzacje]
You are now authorized	[Zostałeś autoryzowany]
Your authorization has been removed!	[Użytkownik odebrał autoryzacje]
To: 	Do: 
size:	Rozmiar:
Sun	Nie
Mon	Pon
Tue	Wto
Wed	Śro
Thu	Czw
Fri	Pią
Sat	Sob
Automatic subscription	Automatyczna autoryzacja
Ask me	Zapytaj mnie
Drop subscription	Odrzuć
Deny subscription	Zabroń
Search	Szukaj
Register	Zarejestruj
Check Google mail	Sprawdź GMail
Blink	Miganie
Notices options	Ustawienia dźwięku
Message sound	Dźwięk wiadomości
Online sound	Dźwięk dostępny
Offline sound	Dźwięk wylogowany
"Message for me" sound	Dźwięk "wiadomość do mnie"
Composing sound	Dźwięk komponowania
Conference sound	Dźwięk konferencji
StartUP sound	Dźwięk przy uruchomieniu
Outgoing sound	Dźwięk zw/oddalony
Vip sound	Dźwięk dla VIP
Copy JID	Kopiuj JID
Ping request	Ping
Online time	Dostępny
Break connection	Wznów Połączenie
autoScroll	Auto przewijanie
Show time in messages	Czas w wiadomościach
Show messages separator	Separator oddzielajacy przeczytane wiadomości
emulate tabs	Przełączanie między kontaktami (klawisze 4-6)
show balloons	Pokaż chmurki
popUps	Wyskakujące okna
AutoStatus Message	Użyj własnego statusu
Enable classic chat	Włącz klasyczny czat
Memory:	Pamięć:
Free: 	Wolna: 
Total: 	Razem: 
Session(s): 	Sesje: 
Description	Opis
User	Użytkownik
Import/Export	Import/Eksport
bold font for contacts	Pogrubienie czcionki kontaktów
running message	Pokaż wiadomość (w trybie pisania)
Show latest message in alt message edit	Pokaż ostatnią wiadomość w alternatywnym oknie
Message Edit Type	Typ edytowania wiadomości
tone sequence	standardowy
Standart	Standardowe
Alternative	Alternatywne
Alternative with GUI panels	Alternatywna +info okienko
Composing message to you	Pisze...
compression	Kompresja
New room created	Utworzono nowy pokój
IRC-like conference nick-status	IRC-status (nick-status)
user moods send/receive	Nastrój (wyślij/odbierz)
Simulated break	Symulowane rozłączenie
Build new version on constructor	Zbuduj nową wersje w konstruktorze
Auto tasks	Autozadanie
Auto task type	Typ Autozadania
by timer 	po jakim czasie
by time 	o jakiej godzinie
Task name	Nazwa zadania
Task type	Typ zadania
Task action	Akcja
Reminder	Przypomnienie
Execute once	Wykonaj raz
Notifications	Powiadomienia
Vibration	Wibracje
Light	Podświetlenie
Pre-emption (min)	Wyprzedzenie (min)
Notify text	Tekst przypomnienia
Auto task action type	Akcja
Quit BombusKlub	Zamknij BombusKlub
Quit conferences	Wyjdź z konferencji
Disconnection	Rozłącz
disabled	Nieaktywne
Delay (min.)	Odliczanie (min.)
Start time	Ustaw zegar
Hour	Godz.
Min	Min.
Browse rooms	Przeglądaj pokoje
Autorespond	AutoOdpowiedź
Invert colors	Odwróć kolory
XML console	XML konsola
Clipboard	Schowek
User moods	Nastrój
User activity	Aktywność
Personal events not supported	Zdarzenia użytkownika nieaktywne 
User tune	Muzyka
user tune receive	Info o muzyce
Attention sound	Dźwięk budzenia
Enable attention requests	Zezwól na budzenie
Request attention	Spróbuj obudzić
Wake Up!!!	Obudź się wreszcie!!!
Attention!	Pobudka!
Bar font	Czcionka Paneli
Popup & ballon font	Czcionka popup i chmurek
Fonts options	Ustawienia Czcionki
Load history	Ładuj historię
Connect to	Połącz do 
Send my color scheme	Wyślij mój schemat kolorów
Unread messages	Nieprzeczytane wiadomości
vibrate only highlited	Wibracja tylko z podświetleniem
Extended settings	Więcej ustawień
Save to file	Zapisz do pliku
Load from file	Wczytaj z pliku
Show IQ requests	Pokazuj prośby IQ
Vibrate on hold touch	Wibruj przy przytrzymaniu palca na ekranie
Show clients icons	Pokazuj ikonki klientów
Action	Akcja
Value	Znaczenie
Quantity of attempts	Ilość prób
Delay before reconnect(sec.)	Czas do ponownego połączenia
Menu	Menu
Previous	Poprzednio
Previous: 	Poporzednio: 
[End of vCard]	[Koniec]
[No vCard available]	[Brak wizytówki]
[No photo available]	[Brak zdjęcia]
[Unsupported format]	[Niewspierany format]
[large photo was dropped]	[Odrzucono - za duże zdjęcie]
Delete group?	Usunąc grupę?
Panels	Panele
[ ]	[ ]
[main bar]	[Main]
[info bar]	[Info]
Flash backlight	Efekty podświetlania
execute menu by numkey	Wykonaj polecenia menu numerami
show nicknames	Widok nicków w wiadomościach
Send photo	Wyślij zdjęcie
enable autorespond	Aktywuj AutoOdpowiedź
File manager	Manager Plików
remote control	Zdalne sterowanie

//2008-10-21 aqent
Saving cursor	Zapisz pozycję kursora
Translate	Przetłumacz
Destroy room	Usuń pokój
Upload to server	Wyślij na serwer
Import from server	Pobierz z serwera
Clear Arhive	Wyczyść archiwum
Stats users for	Statystyki użytkowników
Contact Helper	Kontakt pomocy
Change password	Zmień hasło
Remove from server	Usuń z serwera
New password	Nowe Hasło
Send Evil Message	Wyślij alarm (!)
BredoGEN On	BredoGEN On
BredoGEN Off	BredoGEN Off
deselect all	Odznacz wszystkie
save selection to archive	Zapisz wybór do archiwum
To Clipboard	Kopiuj
Collapse All	Zwiń wszystko
Add Search Query	Dodaj 
Find Text	Znajdź
End search!	Zakończono
Send Mood in Msg	Wyślij nastrój we wiadomości
Turn OFF Animation	Wyłącz animacje
Turn OFF Message Icon	Wyłącz ikonkę dostarczania wiadomości
Send <-> Suspend	Zamień "Wyślij" z "Przerwij" 
Min item height	Minimalna wysokość elementów
You're waking up	Próba budzenia
Color scheme has been sent	Schemat kolorów został wysłany
PEP is now OFF	PubSub jest wyłączone
Dynamic PEP	Dynamiczne PubSub
Draw vcard image on contact	Pokaż avatary w kontaktach
Autoloading vcard from server	Autopobieranie wizytówek z serwera
Autoloading vcard from FS Phone	Autopobieranie wizytówek z systemu plików telefonu
MyActivity	Моja Aktywność
Update Moods+Actions+Music	Uaktualnij PubSub
Stop Music	Zatrzymaj Muzykę
Your text not found!	Nie znaleziono tekstu
Send my Moods+Actions(PEP) to all contacts(YES-recommended)?	Wysłać nastrój i zdarzenia do wszystkich?
Drawed font	Pisane czcionki
Required field	Wymagane pole
Generate	Generuj
Hide panels, popups and baloons; simple cursor	Ukryj panele, okienka i chmurki; domyślny kursor
Show panels and popups; gradient cursor	Pokaż panele i okienka; gradient kursora
Show panels, popups and baloons; show time and traffic on panel; gradient cursor	Pokaż panele, okienka i chmurki; pokaż czas i ruch sieciowy; gradient kursora
Keep current settings	Zachowaj bierzące ustawienia
Show only contact's name and status	Pokaż tylko nazwę kontaktu i status
Show client icons and extended statuses	Pokaż ikony klientów i zaawansowane statusy
Show avatars, client icons, status message, extended statuses, contact's resource	Pokaż avatary, ikony klientów, statusy, zaawansowane statusy i zasoby
Show only messages	Pokaż tylko wiadomości
Show time, presences (collapsed by default)	Pokaż czas i statusy (domyślnie zwinięte)
Show time, message icons, usernicks, presences (expanded by default)	Pokaż czas, ikony wiadomości, nicki i statusy (domyślnie rozwinięte)
As is	Domyślna
Simple	Prosta
Medium	Średnia
Detailed	Szczegółowa
Contact Helper	Kontakt - pomoc
Fill Required field(Full name,nickname and birthday)	Wypełnij wymagane pola (nick, urodziny)
Translate	Przetłumacz
Delete all statuses	Usuń wszystkie statusy
Colored Bold String in chat(+many others strings)	Kolorowanie i pogrubianie wyrażenia w konferencji
Autosave cursor position in chat	AutoZapis pozycji kursora w konferencji
Messages,sended by me	Wiadomości wysłane przeze mnie
Messages with /me	Wiadomości ode mnie
All incoming messages	Wszystkie przychodzące wiadomości
Background Jimm image	Obrazek tła z Jimm
Background image	Obrazek tła
Draw Bgnd of Scroll	Pokaż tło
Scroll Options	Ustawienia rolki
Scroll Width	Szerokość
Type of Background	Typ tła
Background Default	Domyślne tło
Background Gradient	Gradient tła
Background image path	Wybierz własne tło
Background from FS	Własne tło
Max Avatar Width	Maks. szerokość avataru
Max Avatar Height	Маks. wysokość avataru
ClientIcons Left	Ikonki klientów z lewej strony
Show messages count	Licznik nowych wiadomości
After Restart App	Po restarcie aplikacji
Load skin.png from File	Wczytaj tło z pliku png
Set Default skin.png	Ustaw domyślne tło png
Error!Only 16x16 size support!	Błąd! Tylko rozmiar 16x16
Classic Chat	Klasyczny czat
Auto Scrolling	AutoPrzewijanie
Background Phone theme	Tło motywu telefonu
Auto Open Classic Chat	Auto otwieranie klasycznego czatu
Chat Height(max-320)	Wysokość czatu (max-320)
Scroll speed(msec,10sec-max)	Szybkość przewijania (msec,max-10sec)
Show messages limit(1000-max)	Pokaż limit wiadomości (max-1000)
Users search	Znajdź Użytkownika
Enable history	Włącz zapisywanie historii
Support	Pomoc Techniczna
Gradient cursor	Gradient kursora
Alternating chat colors	Alternatywne kolory konferencji
Transparency bgnd(argb)	Przezroczystość tła(ARGB)
Graphics menu bgnd(argb)	Tło graficznego menu
Graphics menu font	Czcionka graficznego menu
My Services	Mój Serwis
(HIGH TRAFFIC!)	(Duży ruch!)
Draw Rect Avatar	Ramka avatara
AutoSave In FS	Auto zapis avatarów w systemie plików
Avatar Folder	Ścieżka avatarów
Roster:Load all Avatars from FS	Roster: wczytaj avatary z systemu plików
Muc:Load all Avatars from FS	Czat: wczytaj avatary z systemu plików
Avatars	Аvatary
Display avatars	Pokazuj avatary
News	Nowości
Show Presence Time	Pokaż czas statusu
Animation of Graphics Menu&Roster	Animowane Menu (zapewnia płynność przewijania)
Edit colors	Edytuj kolory
Vertical gradient on bars	Poziomy gradient paneli
Shadow bar	Cienie paneli
Transparent	Przezroczystość
Background of midlet	Menu kontekstowe
Graphics Menu	Menu graficzne
Cursor	Kursor
Bold	Pogrubione
Italic	Pochylone
User wants to play checkers with you	Użytkownik chce zagrać w warcaby
Checkers:send invite	Warcaby: zaproś do gry
Checkers:start game	Warcaby: start gry
Checkers:stop game	Warcaby: stop gry
Checkers:resume	Waraby: wznów grę
Don't load conference contacts	Czat: nie wczytuj kontaktów
Modules config	Ustawienia modułów
Advanced Options	Opcje zaawansowane
Contacts	Kontakty
Chat	Okno rozmowy i wiadomości
Network	Ustawienia sieci
Appearance	Wygląd
Interface	Interfejs
Application	Aplikacja
Hotkeys	Klawisze skrótów
Autostatus	AutoStatus
Classic Chat	Klasyczny czat
Color Themes	Schemat kolorów
Cashe	Cashe
History	Historia konferecji
Fonts	Czcionki
Import/Export	Import/Export ustawień
Notifications&Light Control	Dźwięki i powiadomienia
Tasks	Zadania
New task	Nowe zadanie
Default name	Domyślna nazwa
Default text	Domyślny tekst
Avatars	Avatary
Config	Ustawienia
Use animated smiles	Animowane emotki
Nokia Reconnect Hack	Automatyczne wznawianie zerwanych połączeń
Debug Menu	Konsola Debug
Please,edit this account to save new password!	Edytuj konto aby zapisać nowe hasło!!
Account deleted!	Konto usunięte!
Insert New Password	Wpisz nowe hasło
Highlite Out Messages	Podkreśl wychodzące wiadomości
Contact is now offline.Continue?	Kontakt wylogowany. Kontynuować?
clipboard NOT sended	NIE wysłano zawartości schowka
Collapse presences	Zwiń statusy
ANY	Wszystko
allow	Zezwól
deny	Zabroń
presence-in	Statusy przychodzące
presence-out	Statusy wychodzące
iq	Wersja / czas użytkownika
if	Jeśli
none	brak
from	od
to	do
both	autoryzowany
all stanzas	Wszystkie wątki
Exit from ALL Rooms	Wyjdź ze wszystkich pokoi
Create Annotation	Dodaj notatkę
Remove Annotation	Usuń notatkę
Contact Annotations	Notatki do kontaktów
Note	Notatka
Change transport	Zamień transport
Test Vibration	Testuj wibracje
Vibration Len	Długość wibracji
Vibration Repeats	Liczba powtórzeń
Vibration Repeats Interval	Odstęp między powtórzeniami
Light control	Podświetlenie
Enable light control	Włącz kontrole podświetlenia
Common brightness for all options	Wspólna jasność dla wszystkich opcji
Idle screen brightness	Jasność po oddaleniu
Keypress screen brightness	Jasność po naciśnięciu
Keypress idle timeout	Czas oddalenia: po naciśnięciu(sek.)
Message screen brightness	Jasność przy pisaniu
Message idle timeout	Czas oddalenia: po ostatniej wiadomości (sek.) 
Presence screen brightness	Jasność przy statusach
Presence idle timeout	Czas oddalenia: po ostatnim statusie (sek.)
Connect screen brightness	Jasność po połączniu
Connect idle timeout	Czas oddalenia: po połączeniu (sek.)
Error screen brightness	Jasność przy błędzie
Error idle timeout	Czas oddalenia: po ostatnim błędzie (sek.)
Blink brightness	Jasność przy miganiu
Blink timeout	Czas oddalenia: po ostatnim miganiu (sek.)
Account has been removed from server successfully	Konto zostało pomyślnie usunięte z serwera
Use	Używa
Metacontacts	Metakontakty
Use 5 key to create Message	Użyj 5 aby napisać wiadomość
Use Light to draw panels	Kąt nachylenia światla na panelu
MainBar Gradient Light #	Gradient panel
Graphisc Menu Screen Position	Pozycja menu graficznego
[default]	[domyślne]
[Left:     ]	[z lewej:     ]
[    :Right]	[    :z prawej]
Visible	Widoczna
[path is not specified]	[Nie ustawiono ścieżki]
Conference history	Historia konferencji
Conference private history	Historia prywatnych rozmów w konferencji
Presences history	Historia statusów
Show last messages from history	Pokaż ostatnie wiadomości z historii
Message Buffer is not empty.Clear it?	Projekt zawiera wiadomości. Usunąć?
Create Multi Message	Multi-wiadomość
Sort Type	Sortowanie
OFF (default)	Domyślnie
By status	Po statusach
By Msgs count	Po wiadomościach
Auto-Load Transports after connect	Automatycznie uruchamiaj transporty po połączeniu
Type History	Typ historii
History in RMS	Historia w pamięci telefonu
History in FS	Historia w systemie plików
History on server	Historia na serwerze
vCard: delete current	Wizytówka: skasuj obecną
vCard: delete ALL	Wizytówka: skasuj wszyskie
User Avatar: delete current	Avatar: skasuj obecny
User Avatar: delete from ALL vcards	Avatar: skasuj wszystkie
Success	Sukces
Simple Contacts	Proste kontakty
User App Level	Trudność aplikacji
Started	n00b
Confident	normal
Experienced	pro
Was added:	Dodano:
Configuration Master	Kreator konfiguracji
Please reinstall the program to avoid possible future problems	Proszę przeinstalować program aby uniknąć przyszłych problemów.
IM Networks	Sieci IM
Add server	Dodaj Serwer
My servers	Moje serwery
Menu font	Czcionka menu
Show History	Pokaż historię
Pubsub events	Zdarzenia
AppRun count: 	Licznik: 
