// Copyright (c) 2005-2008, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

// ask server to send us localized messages
xmlLang	ar
Resume Message	أعادة الرسالة
Modify affiliation	تعديل التفعيل
Clear	واضح
Connect	الاتصال
Unaffiliate	غير مشارك
Grant Moderator	اعطاء مسؤول
Revoke Moderator	رفض المسؤول
Grant Admin	أعطاء مدير
Grant Ownership	أعطاء مالك
 is inviting You to 	 دعوة لك 
Ask subscription	اطلب الاشتراك
Grant subscription	أعطاء الاشتراك
Invite to conference	دعوة الى المؤتمر
Reason	السبب
Participants	المشتركين
Abc	ABC
room presences	غرفة الوجود
 is now known as 	  الان يدعى بأسم 
 was banned 	 تم فصله
 was kicked 	 تم طرده
 has been kicked because room became members-only	 قد تم طرد بسبب الغرفة للاعضاء فقط
 has left the channel	 غادر
 has joined the channel as 	 انضم 
 and 	 و 
 is now 	 والان 
error	خطأ
Sound volume	مستوى الصوت
Language	اللغة
History folder	مجلد التاريخ
Copy	نسخ
Paste	لصق
has set topic to	قد حدد الموضوع الى
Seen	المشاهدة
Idle	الخمول
View	مشاهدة
Stop	توقف
File transfers	نقل الملفات
Path	مسار
Accept file	قبول الملف
File	الملف
Sender	مرسل
Rejected	رفض
Send file	أرسال الملف
Can't open file	لا استطيع الفتح
New	جديد
Save photo	حفظ الصورة
balloon ink	بالون الحبر
balloon background	بالون الخلفية
messagelist & roster background	لون القائمة المجموع
messagelist & roster even lines	 لون قائمة الرسائل
messagelist & roster & common font	لون قائمة الاوامر
message subject	موضوع الرسالة
message highlight	تسليط الضوء على الرسالة
service discovery commands	أكتشاف اوامر الخدمات
panels background	لوحات خلفية
header font	راس الخط
contact default	الأتصالات الافتراضية
contact chat	الأسماء المتوفرة للتحدث
contact away	الأسماء البعيدة
contact extended away	الأسماء الموسعة بعيدا
contact do not disturb	الأسماء عدم الازعاج
group color	مجموعة الالوان
keylock font	خط قفل المفاتيح
keylock background	قفل مفاتيح الخلفية
message incoming	في رسالة واردة
message outgoing	رسالة صادرة
message presence	رسالة الموجود
message auth	رساة القبول
message history	رسائل التاريخ
progress bar remained	تظليل شريط التقدم
progress bar complete	شريط التقدم الشامل
progress bar font	خط شريط التقدم
Group gradient 1 and Heap mon total	مجموعة متدرجة )1) الكل
Group gradient 2 and Heap mon free	مجموعة متدرجة 2 (الحر)
Cursor background	المؤشر الخلفية
Cursor ink & outline	المؤشر الحبر والمخطط التفصيلي
Gradient cursor(1)	التدرج المؤشر 1
Gradient cursor(2)	التدرج المؤشر 2
Scroll border	حدود الانتقال
Scroll bar	شريط التمرير
Scroll back	انتقل مرة اخرى
other message incoming	اخر رسالة واردة(الوان الالقاب)
other message outgoing	اخر رسالة صادرة
other message presence	اخر رسالة وجود
Popup font	الخط المنبثق
Popup background	المنبثقة الخلفية
Popup system font	نظام الخط المنبثق
Popup system background	نظام الخلفية المنبثقة
Contact status font	خط مركز الأتصالات
Control color	التحكم في الالوان
Gradient_Background_left color	تدرج لون الخلفية اليسرى
Gradient_Background_right color	لون الخلفية المتدرج الحقيقي
Themes	الموضوعات
Time	الوقت
participant	مشترك
moderator	مسؤول
visitor	سحب حق التحدث
none	زائر
member	عضو
admin	مدير
owner	مالك
second's	الثاني
seconds	ثانية
second	ثان
minute's	دقيقة واحدة
minute	دقائق
minute	دقيقة
hour's	ساعة
hours	ساعات
hour	ساعة
day's	اليوم
days	الايام
day	يوم
Minutes before away	بعيد منذ دقائق
Automatic Away	تلقائيا بعيد
disabled	تعطيل
keyblock	عند قفل الأزرار
by message	في غيابي رسالة التلقائية
AutoStatus	الحالة الالية
AutoStatus time (min)	وقت الحالة الاوتو(دقيقة)
Auto xa since %t	ايتوماتيك غير متوفر منذ %t
Auto away since %t	ايتوماتيك بعيد منذ %t
autofocus	أوتوفوكس في اتصال مع رسالة جديدة
Grant Membership	أعطاء العضوية
Google token request	جوجل طلب رمزي
Features	المفضلات
No client version available	لا يوجد نسخة متوفرة
Message limit	حد الرسالة
Opening stream	فتح الدفق
Using compression	أستخدام الضغط
Authenticating	المصادقة
Resource binding	ملزم المصدر
Initiating session	بدء الدورة
Text wrapping	التفاف النص
by chars	بواسطة حرف
by words	بواسطة كلمات
Info	معلومات
Reply	رد
Send status	ارسال الحالة
Are you sure want to BAN this person?	هل أنت متأكد من حظر هذا الشخص
No reason	بدون سبب
Recent	الأخيرة
Shot	طلقة
Select file	اختيار الملف
Load Photo	تحميل الصور
Clear Photo	تنظيف الصور
Camera	الكاميرا
Hide finished	اخفاء الانتهاء
Transfer tasks	نقل المهام
Are you sure want to delete this message?	هل انت متأكد تريد حذف هذه الرسالة
New conference	مؤتمر جديد
Root	الجذر
Decline	هبوط
Authorize new contacts	قبول اسم جديد
[auto-subscribe]	[اشتراك الي]
Keep-Alive	البقاء حيا
 has been unaffiliated and kicked from members-only room	 ولقد اصبحت غير مشترك وتم طردك من بسبب الغرفة للاعضاء فقط
Rename	أعادة تسمية
Move	نقل
Save	حفظ
Translit	النقل
ReTranslit	اعادة تسمية النقل
Auto translit2Cyr	الحروف السيريلية الالية
Check Updates	التأكد من التحديثات
Show Resources	إظهار المصدر
Collapsed groups	تقليل مجموعة بدء التشغيل
Send Buffer	ارسال العازلة
Change nickname	تغيير اللقب
Message collapse limit	التقليل من الرسالة, إذا كان أكثر من )الحروف(
Clear all chats	مسح جميع المحادثات
Join marked (auto)	انضمام تلقائي
Statistics	الأحصائيات
Started: 	بدأت: 
Traffic stats: 	احصائيات المرور: 
All: 	الكل: 
Current: 	الحالي:
Edit/join	تعديل/أنضمام	
Use this Color scheme	أستخدام نظام الالوان هذا
Delete All	حذف جميع الأرشيف
show statuses	مشاهدة الحالات
shared platform info	المزيد من المعلومات حول منصة الهاتف
delivery events	الإخطار تسليم الرسالة
drop all	إسقاط جميع
receive messages	تلقي الرسائل
messages & presences	الرسائل والحالة
normal	عادي
small	صغير
large	كبير
All signals	كل الأصوات
Vibra	اهتزاز
No signals	لا أصوات
 (default)	 (الأفتراضية)
Quit?	الخروج؟
Are you sure want to Quit?	هل أنت متأكد أنك تريد الخروج
exit confirmation	تأكيد الخروج
show last appeared contacts	أظهر اخر الاتصالات الظاهرة
custom keys	مفاتيح مخصصة
Add custom key	أضافة مفتاح مخصص
keys action	مفاتيح العمل
enabled	تمكين
key	مفتاح
Reconnect	معاودة الأتصال
Sort list	فرز قائمة
show time and traffic	رؤية الوقت وعداد البيانات
Clear popups	ازالة النوافذ
Chat history length	دردشة طول التاريخ
This user wants to subscribe to your presence	هذا المستخدم يريد ان ينضم الى مجموعة اتصالاتكم
You are now authorized	تم الان قبول الدعوة
Your authorization has been removed!	تم حذف الدعوة!
To: 	إلى 
size:	الحجم:
Sun	احد
Mon	أث
Tue	ثلا
Wed	أربع
Thu	خميس
Fri	جمعه
Sat	سبت
Automatic subscription	الاشتراك التلقائي
Ask me	أسالني
Drop subscription	رفض
Deny subscription	حظر
Search	البحث
Register	التسجيل
Check Google mail	افحص GMail
Blink	وميض
Notices options	خيارات وأشعارات
Message sound	صوت الرسالة
Online sound	صوت المتصل
Offline sound	صوت غير المتصل
"Message for me" sound	صوت الرسالة لأجلي
Composing sound	صوت التأليف
Conference sound	صوت المؤتمرات
StartUP sound	صوت التشغيل
Outgoing sound	صوت الخروج
Vip sound	صوت VIP
Copy JID	نسخ JID
Ping request	زمن الأستجابة
Online time	الوقت المتصل
Break connection	انقطاع الاتصال
autoScroll	قائمة انتقال الرسالة الالي
emulate tabs	(4/6) التبديل السريع بين رسائل النوافذ
show balloons	عرض نصائح (balluny)
popUps	بالنوافذ
AutoStatus Message	رسالة الحالة التلقائية
Memory:	الذاكرة:
Free: 	الفارغة: 
Total: 	الكلية: 
Session(s): 	الدورات: 
Description	وصف
User	المستخدم
Import/Export	بيانات الأستيراد/التصدير
bold font for contacts	الخط الغامق للاتصالات
running message	تشغيل الرسالة
Message Edit Type	اكتب مجموعة من نافذة الرسالة
Standart	قياسي
Alternative	البديل
Composing message to you	يكتب الرسالة
compression	الضغط
New room created	غرفة جديدة لا تنسى ان تضبط اعداداتها
Simulated break	محاكاة الكسر
Auto tasks	المهام التلقائي
Auto task type	نوع المهمة الاليةالتلقائي
by timer 	بواسطة المؤقت
by time 	بواسطة الوقت
Auto task action type	نوع المهام النشطة التلقائي
Quit BombusQD	الخروج من BombusQD
Quit conferences	الخروج من المؤتمرات
Disconnection	قطع الأتصال
Delay (min.)	التأخير (مقدار)
Start time	وقت البدء
Hour	ساعة
Min	دقيقة
Browse rooms	استعراض الغرف
Autorespond	الاجابة على النظام
Invert colors	عكس الألوان
XML console	XML تعزية
Clipboard	الحافظة
User moods	استخدام المزاج
User activity	استخدام النشاط
Personal events not supported	الأحداث الشخصية غير المعتمدة
User tune	استخدام اللحن
Bar font	شريط الخط
Popup & ballon font	الوان الخط المنبثق
Connect to	الاتصال الى
Send my color scheme	أرسال مخطط الواني
Unread messages	رسائل غير مقروءة
vibrate only highlited	الاهتزاز فقط عند الاتصال بي
Save to file	حفظ الى الملف
Load from file	تحميل من ملف
Show IQ requests	أظهار طلبات IQ
Show clients icons	أظهار رموز النسخ
Action	نشط
Value	القيمة
Quantity of attempts	كمية من المحاولات
Delay before reconnect(sec.)	تأخير قبل إعادة(ثانية(
Menu	القائمة
Previous	السابق
Previous: 	السابق: 
[End of vCard]	نهاية من الفيزيت كارت
[No vCard available]	لا تتوفر فيزيت كارت
[No photo available]	لا تتوفر صور
[Unsupported format]	تنسيق غير معتمد
[large photo was dropped]	[فشل الصورة الكبيرة]
Delete group?	حذف المجموعة؟
Panels	اللوحات
[ ]	[لا]
[main bar]	[شريط الرئيسية]
[info bar]	[شريط المعلومات]
Flash backlight	فلاش الخلفية
execute menu by numkey	اظهار القائمة بالأرقام
show nicknames	أظهار اللقب المستعار في دردشة عبر الرسائل النصية
Send photo	أرسال الصور
enable autorespond	تحويل بدوره على الرد
File manager	مدير الملف
remote control	التحكم عن بعد

//2008-10-21 aqent
Translate	الترجمة
Destroy room	تدمير الغرفة
Stats users for	إحصاءات المستخدمين
Change password	تغيير كلمة السر
Remove from server	إزالة من المخدم
New password	كلمة السر الجديدة
Add Search Query	إضافة استعلام البحث
Find Text	البحث عن النص
End search!	نهاية البحث
Turn OFF Message Icon	إيقاف رسالة أيقونة
Autoloading vcard from server	بدء تحميل فيزيت كارت من المخدم
Autoloading vcard from FS Phone	بدء تحميل فيزيت كارت من ملف نظام الهاتف
Not found!	غير موجود
Generate	توليد
Delete all statuses	حذف جميع الحالات
Background Jimm image	صورة الخلفية Jimm
Background image	صورة الخلفية
Scroll Width	انتقل العرض
Type of Background	نوع من الخلفية
Background Default	الخلفية الأفتراضية
Background Gradient	الخلفية المتدرجة
Max Avatar Width	منوع عرض الشخصية
Max Avatar Height	اقصى ارتفاع منوع
ClientIcons Left	رموز النسخ اليسار
Classic Chat	المحادثة الكلاسيكية
Background Phone theme	خلفية موضوع الهاتف
Chat Height(max-320)	أرتفاع الدردشة
Scroll speed(msec,10sec-max)	سرعة التمرير"مللي بالثانية"
Show messages limit(1000-max)	حد رسالة الظهور 
Users search	بحث المستخدمين
Support	Online الدعم على الانترنت
Gradient cursor	مؤشر الانحدار
Transparency bgnd(argb)	الشفافية الخلفية(ARGB)
Graphics menu bgnd(argb)	خلفية القائمة رسومية(ARGB)
Graphics menu font	خط القائمة الرسومات
My Services	الخدمات >
Draw Rect Avatar	إطار صورة
AutoSave In FS	للحفظ في ملف النظام
Avatar Folder	مجلد الشخصية
Avatars	افاتار
News	الأخبار
Show time in messages	مشاهدة الوقت في الرسالة
Edit colors	تعديل الألوان
Transparent	ضبط الشفافية
Background of midlet	خلفية من الوسط
Graphics Menu	قائمة الرسومات
Cursor	المؤشر
Italic	الخط المائل
Contacts	الأتصالات
Chat	نافذة الدردشة
Network	أعدادات الشبكة
Appearance	المظهر
Application	التطبيقات
Hotkeys	أختصارات لوحة المفاتيح
History	تاريخ المحادثات
Fonts	الخطوط
Notifications&Light Control	الإخطارات والتحكم الضوئي
Tasks	المهام
Config	التكوين
Use animated smiles	أستخدام الأبتسامات المتحركة
Nokia Reconnect Hack	نوكيا اعد توصيل الهاك
Debug Menu	تصحيح القائمة
Please,edit this account to save new password!	من فضلك, تعديل هذا الحساب لحفظ كلمة سر جديدة
Account deleted!	حذف الحساب!
Insert New Password	أدخال كلمة السر الجديدة
Contact is now offline.Continue?	الاسماء الان غير متصلة.استمرار؟
clipboard NOT sended	ارسال الخطأ
Collapse presences	تقليل رسائل الحالة
ANY	أي
allow	سماح
deny	حجب
presence-in	الوجود-في
presence-out	الوجود-خارج
iq	الأستعلام عن الاصدار/الوقت
if	إذا
none	أي اشتراكات
from	الأنتظار للاكتتاب(من)
to	الانتظار للاكتتاب(الى)
both	معا
all stanzas	جميع الموشحات
Exit from ALL Rooms	الخروج من جميع الغرف
Create Annotation	إنشاء تعليق
Remove Annotation	حذف تعليق
Contact Annotations	ملاحظات للجهات الاتصال الخاصة بك
Note	مذكرة
Change transport	تغيير النقل
Test Vibration	اختبار الاهتزاز
Vibration Len	طول اهتزاز
Vibration Repeats	تكرار الاهتزاز
Vibration Repeats Interval	تكرار الاهتزاز الفاصل
Light control	تحكم الضوء
Enable light control	تغعيل التحكم بالضوء
Idle screen brightness	خمول سطوع الشاشة
Keypress screen brightness	سطوع الشاشة بضغطة
Keypress idle timeout	مهلة بعد الضغط )المدة(
Message screen brightness	رسالة سطوع الشاشة
Message idle timeout	رسالة مهلة الخمول
Presence screen brightness	سطوع الشاشة الوجود
Presence idle timeout	المهلة بعد تغيير الحالة )بالثانية(
Connect screen brightness	السطوع عند الاتصال
Connect idle timeout	المهلة عند الاتصال)بالثانية(
Error screen brightness	سطوع الشاشة الخطأ
Error idle timeout	الخطأ في مهلة الخمول
Blink brightness	وميض سطوح
Blink timeout	الفاصل الزمني بين الوميض
Use 5 key to create Message	استخدام المفتاح 5 لإنشاء رسالة
Use Light to draw panels	استخدام الضوء لرسم لوحات
MainBar Gradient Light #	لوحة التدرج الرئيسية
Graphisc Menu Screen Position	مركز قائمة رسومات الشاشة
[center]	[المنتصف]
[Left:     ]	[اليسار:     ]
[    :Right]	[    :اليمين]
Message Buffer is not empty.Clear it?	مخزن الرسالة غير فارغة. تنظيف ذلك؟
Create Multi Message	أنشاء رسالة متعددة الوسائط
Sort Type	نوع الفرز
OFF (default)	إيقاف (الأفتراضية(
By status	حسب الرسالة
By Msgs count	الرسائل التي كتبها العد
Type History	أكتب رسالة للتخزين
History in RMS	التاريح في ذاكرة الهاتف
History in FS	التاريخ في بطاقة الذاكرة
vCard: delete current	فيزيت كارت:حذف التالي
vCard: delete ALL	فيزيت كارت:حذف الجميع
User Avatar: delete current	الصور المستخدمة:حذف التالي
User Avatar: delete from ALL vcards	الصور المستخدمة:حذف من جميع الفيزيت كارت
Success	نجاح
Simple Contacts	الاتصال البسيط
Was added:	تمت الاضافة
Configuration Master	مهام التكوين
Add server	اضافة مخدم
My servers	مخدماتي
Menu font	خط القائمة
Show History	أظهار التاريخ
Pubsub events	تعزيز الوضع
AppRun count: 	يعمل عدد من: 
Attention!	الانتباه
Wake Up!!!	الاستيقاظ!!!
Enable attention requests	وتشمل طلبات للحصول على لفت الانتباه
Request attention	طلب الاهتمام
Attention sound	صوت الاهتمام
Shadow bar	شريط الظل
Copy topic	نسخ الموضوع
Min item height	دقيقة. ارتفاع العناصر
Send <-> Suspend	إرسال <-> تعليق
You're waking up	كنت أستيقظ
Color scheme has been sent	وقد أرسل نظام الألوان
Enable/Disable	تفعيل/تعطيل
Delete contacts, who leave MUC	حذف الاسماء,من غادر MUC
Background image path	صورة خلفية المسار
Background from FS	الخلفية من ملف النظام
[path is not specified]	[لم يتم تحديد مسار]
Contact's offset	يقابل الاتصال
Saving...	الحفظ...
Delete history?	حذف التاريخ?
As is	كما هو
Simple	بسيط
Medium	متوسط
Detailed	مفصل
Next	التالي
Show only contact's name and status	تظهر فقط على اسم جهة الاتصال ومكانتها
Show client icons and extended statuses	إظهار رموز البرامج وحالات تمديد
Show avatars, client icons, status message, extended statuses, contact's resource	تظهر الآلهة,رموز البرامج,رسالة الحالة,تمديد الحالات,مورد الاتصالات
Show only messages	أظهار الرسالة فقط
Show time, presences (collapsed by default)	أظهار الوقت , والتواجد (انهارت افتراضيا(
Show time, message icons, usernicks, presences (expanded by default)	ظهور الوقت,رسالة الرموز,الالقاب المستخدمة,التواجد )التوسيع افتراضيا(
Hide panels, popups and baloons; simple cursor	إخفاء لوحات, النوافذ المنبثقة ونصائح ؛ المؤشر بسيطة
Show panels and popups; gradient cursor	تظهر لوحة والنوافذ المنبثقة ، المؤشر الانحدار
Show panels, popups and baloons; show time and traffic on panel; gradient cursor	 تظهر لوحة ، النوافذ المنبثقة ونصائح ، والوقت وحركة المرور على لوحات ، المؤشر الانحدار
Keep current settings	احتفاظ الإعدادات الحالية
There are no active conferences	لا توجد مؤتمرات نشطة
Account has been removed from server successfully	تمت إزالة الحساب من الخادم بنجاح
Use	استخدام
Advanced mode	وضع متقدم
Use simple mode	استخدام الوضع البسيط
Unlock adnvanced mode	فتح وضع متقدم
Advanced mode is enabled	يتم تمكين وضع متقدم
Advanced Mode is disabled	تم تعطيل وضع متقدم
Show images in juick	أظهار الصور في juick
Your last posts	آخر المشاركات لحزمك
Last posts from Juick.com	آخر المشاركات من Juick.com
Subscribe to replies	الإشتراك في الردود
Unsubscribe from replies	ألغاء الأشتراك في الردود
Send PM to user	ارسال رسالة خاصة إلى المستخدم
Full user info	معلومات المستخدم الكامل
JUICK.COM	عرض Juick
Conference history	تاريخ المؤتمر
Conference private history	تاريخ المؤتمر خاصة
Show last messages from history	عرض رسائل الماضي من التاريخ
Task name	اسم المهام
Task type	نوع المهام
Task action خيارات المهام
Reminder	تذكير
Execute once	تنفيذ مرة واحدة
Notifications	إخطارات
Vibration	اهتزاز
Light	الضوء
Sound	الصوت
Pre-emption (min)	الاستباق(الدقيقة)
Notify text	حظر النص
Show messages separator	اظهار فاصل الرسائل
